brand_id,candle_id,start_time,stop_time,session_time,start_temp,stop_temp,start_rh,stop_rh,start_dp,stop_dp,session_id
1,1,2022-02-20T12:12:00Z,2022-02-20T15:12:00Z,3,70.5,74.1,42.8,39.9,46.8,48.2,1
1,1,2022-02-21T12:16:00Z,2022-02-21T15:17:59Z,3,75.5,82,50.4,39,56,54.6,2
1,1,2022-02-22T20:19:00Z,2022-02-22T23:18:00Z,3,73.1,76.8,45.1,40.7,50.6,51.1,3
1,1,2022-02-23T21:33:00Z,2022-02-23T23:58:00Z,2.4,67.2,68,37.2,32.3,40.2,37.3,4
1,1,2022-02-24T20:59:00Z,2022-02-25T00:15:00Z,3.3,67.8,68.5,36,29.9,39.8,35.8,5
1,1,2022-02-28T11:15:00Z,2022-02-28T14:01:00Z,2.8,66.6,75.4,36.1,30.8,38.9,42.5,6
1,1,2022-03-03T21:02:00Z,2022-03-04T00:06:00Z,3.1,76.3,81.9,41,35.7,51,52.1,7
1,1,2022-03-07T20:24:00Z,2022-03-07T23:35:59Z,3.2,73.3,77.1,41.3,36.6,48.4,48.5,8
1,1,2022-03-11T20:45:00Z,2022-03-11T23:59:00Z,3.2,68.2,74.5,39.7,31.8,42.8,42.5,9
1,1,2022-03-15T20:51:59Z,2022-03-16T00:06:00Z,3.2,75.3,82.7,41.4,34.1,50.2,51.6,10
1,1,2022-03-18T20:34:00Z,2022-03-19T00:17:59Z,3.7,75.2,82.7,42.1,33.8,50.6,51.3,11
1,1,2022-03-28T14:34:00Z,2022-03-28T17:03:00Z,2.5,76.4,81,44.7,35.7,53.3,51.3,12
1,1,2022-04-08T15:12:00Z,2022-04-08T17:57:00Z,2.7,75,84.5,40.2,31,49.2,50.6,13
1,1,2022-04-25T20:22:00Z,2022-04-25T23:47:00Z,3.4,74.2,82.8,56.5,44.6,57.8,59.1,14
1,1,2022-04-26T19:49:00Z,2022-04-26T22:21:59Z,2.5,73.8,82.4,53,42.5,55.6,57.3,15
